,raw_snr,raw_mag,trans_snr,trans_mag,delta_snr
0,50.8783499052826,355.16946029936,63.8203772589571,339.942069134229,12.9420273536745
1,50.0764256077735,353.234427641811,63.3490115751288,344.455497501035,13.2725859673553
2,50.9982238867351,360.434577347958,63.2545728513334,374.519784268942,12.2563489645983
3,52.7994661083982,373.453046148399,58.3608333585418,230.918351852627,5.56136725014366
4,50.7236403050614,365.180000732162,60.6592297566692,242.618478427079,9.93558945160778
5,50.8300953873876,353.852080750544,61.3310206526656,253.541009569965,10.5009252652779
6,49.1920424965325,343.031264770087,55.5392970736949,187.568100787402,6.34725457716242
7,50.2323730529114,348.769177084588,66.8402509121157,439.624691268733,16.6078778592043
8,48.1319624414421,328.407019568449,64.954155867663,418.820667502938,16.8221934262209
9,50.3233484215694,359.072858294688,63.6531486009599,358.786421019617,13.3298001793905
10,50.8744470475094,361.835919065015,64.9253520005426,298.767553055512,14.0509049530332
11,51.1486298460266,357.945032865984,50.47138714351,185.315207832726,-0.677242702516672
12,49.8076532550242,358.714475101526,56.4815067234079,228.333958459054,6.67385346838369
13,49.9228345089468,350.753567410339,60.6460103525593,358.493299321251,10.7231758436126
14,50.3452620551325,361.823521190903,65.8156832332487,392.660308610295,15.4704211781162
15,47.8892011682404,319.793260853632,61.6055129938527,347.5407695208,13.7163118256123
16,48.9652023681232,332.206782239914,63.1263853269219,307.943456731351,14.1611829587987
17,49.8070900119082,349.640324813504,60.8797736741775,264.733547200407,11.0726836622693
18,48.6962151499015,335.496540534463,66.8749369132898,355.190450147592,18.1787217633883
19,47.5539403747685,331.167773563082,62.4098776732787,306.89970311352,14.8559372985102
,49.9598201699338,349.99905551382,61.7499161971259,311.833666266254,11.7900960271922
