,raw_snr,raw_mag,trans_snr,trans_mag,delta_snr
0,40.2633252008344,515.399931242873,76.7375279480809,1103.32720452526,36.4742027472465
1,41.5892470698772,529.334703514905,85.1986575260366,2512.87530042977,43.6094104561594
2,39.8382012026658,500.200819374964,86.3062727631535,2634.67558347605,46.4680715604877
3,37.4855189145312,443.218928940311,85.3155047063732,2446.75077791613,47.829985791842
4,39.3076277903155,475.57564065374,84.8073920216077,2120.16909460632,45.4997642312922
5,37.7875532579945,449.63487280308,80.7884718837893,1948.99859975663,43.0009186257948
6,40.3762097495751,498.639940053082,96.7059629281948,3498.82202677253,56.3297531786197
7,32.695245920286,345.832589916438,84.5388569311947,2023.78188549284,51.8436110109087
8,40.729365053604,510.630100241316,87.3381433240245,2550.69121041558,46.6087782704206
9,39.0221852698665,485.7137205404,88.8954446022157,2864.76741193386,49.8732593323492
10,36.3792420502861,421.670103107001,89.1858616033139,2411.7003425178,52.8066195530278
11,34.3260959919704,381.085719118912,79.8158095803482,1992.32121720633,45.4897135883778
12,39.8797493638871,488.987420242631,90.6552123635215,3196.02829329688,50.7754629996344
13,36.8817595581598,435.558983105809,77.5650573538259,1526.77674670083,40.6832977956661
14,38.2426308184254,461.110274181102,80.6360467284707,1377.94474531892,42.3934159100453
15,39.109969639469,477.270034747022,88.7941349822858,2656.13238362617,49.6841653428168
16,38.7913946028836,474.397921344434,86.5006325225667,2729.8642878596,47.7092379196831
17,41.7332314364333,531.728842390791,83.5881046424608,1831.01285940107,41.8548732060275
18,37.5105259117536,444.863633269154,83.4068700081208,2146.65620992734,45.8963440963672
19,36.1459203820355,421.049360805655,113.729741364617,7190.9174835753,77.5838209825811
,38.5799196050592,468.110585862156,85.1873941339703,2301.47999840292,46.6074745289111
