,raw_snr,raw_mag,trans_snr,trans_mag,delta_snr
0,46.3036838795248,332.932409722608,51.5462490371173,211.273060276214,5.24256515759245
1,46.6722829345399,330.776359511675,64.4031241490828,333.608781185227,17.7308412145429
2,39.9854757313715,250.267728710377,55.3112552524928,203.737534153459,15.3257795211213
3,41.6340003819396,276.029126270257,63.8716878319356,350.678026680837,22.2376874499961
4,44.4097619928629,308.462484026813,52.9799459633155,190.901435537514,8.57018397045253
5,44.0778283628111,300.488770225516,65.5543826928445,385.470054101289,21.4765543300334
6,47.3008103885512,357.317747530833,62.0921898430487,306.282484141538,14.7913794544975
7,46.2586971362776,334.090662553804,58.3156747029747,283.76514482018,12.0569775666971
8,41.6767656017514,284.945965506048,63.020286306978,327.969707744114,21.3435207052266
9,44.1103224707977,306.881972654821,57.2355699743705,246.822275174049,13.1252475035728
10,45.3361505334495,321.089635107698,59.4846338125385,272.468401486568,14.148483279089
11,43.8512057831639,301.534103196583,55.0686290911323,200.4931201007,11.2174233079684
12,40.964773740804,263.438840882341,61.9275293221481,336.715619422355,20.9627555813441
13,45.4873726928261,323.752721404314,64.6179977199566,387.108611035323,19.1306250271305
14,46.0885810026673,341.538205166792,63.4239350052659,278.914287318085,17.3353540025985
15,44.005700713777,303.429655535737,61.8646804062715,308.186611640487,17.8589796924945
16,45.5739302291624,322.424702425224,53.9102259607064,163.494935070237,8.33629573154396
17,42.9827105680334,290.530718341088,61.9602906784431,305.840164275879,18.9775801104096
18,43.4794464938746,306.719678384484,53.6322531119994,183.469520192339,10.1528066181247
19,41.3661085355981,275.393182484399,56.3356890201892,201.20747418118,14.9695804845911
,44.0782804586892,306.602233482071,59.3278114941406,273.920362426879,15.2495310354514
