,raw_snr,raw_mag,trans_snr,trans_mag,delta_snr
0,31.3300777132744,177.793948460737,34.2814708900065,90.9189172367536,2.95139317673208
1,29.1933243469534,171.710416171132,48.3844722389931,115.934814393809,19.1911478920397
2,33.7500827659779,208.236521353577,75.1302751512416,759.826145975541,41.3801923852637
3,36.9484173237252,245.968869577763,69.4348557985439,671.784860453997,32.4864384748186
4,25.9533369693157,144.465656651519,70.4786939416849,622.87822460582,44.5253569723693
5,23.8918991815271,132.604210595668,84.190467733117,1225.69820928323,60.2985685515899
6,28.4806241954002,166.028105488215,66.6627967507318,393.632092624182,38.1821725553315
7,39.6396767185426,282.437539611599,74.0784181803313,702.585864074148,34.4387414617887
8,34.4468472413558,216.638780005326,77.4784566419232,723.650216310427,43.0316094005674
9,31.3225474611691,189.995208853855,68.310635990278,512.053989651075,36.9880885291089
10,37.9298411958031,249.535108927305,60.5163262090193,376.458313421249,22.5864850132161
11,35.5314793233409,234.813114504189,42.0320021477559,84.2517605409151,6.50052282441498
12,29.4349421429675,171.320857440892,35.1238876886297,62.7143209001993,5.68894554566219
13,29.5333918139033,178.222376595468,72.4836697649465,678.436954583508,42.9502779510432
14,29.224614212199,173.597094543362,69.1069931839352,558.461406274613,39.8823789717363
15,31.8523037080444,193.026330629277,44.7342130278958,166.608005270772,12.8819093198514
16,28.56876488745,165.204006698919,59.3806542152376,314.677023996636,30.8118893277876
17,28.5104557046057,158.997314214328,65.8308452807942,462.735061950227,37.3203895761884
18,25.1327578126518,136.155935546322,48.6387547472605,130.27483821156,23.5059969346087
19,33.8690918199022,208.668536903589,58.3006218527359,255.341707968967,24.4315300328337
,31.4190348280864,192.255303351285,62.0910630463925,473.51701008595,30.6720282183061
