,prx,time (s),epc96
1588,-48,37.860287,e280116060000209e445f02a
1589,-50,37.880411,e280116060000209e445f02a
1590,-50,37.894423,e280116060000209e445f02a
75,-44,37.907136,e280116060000205403ddcdb
1591,-50,37.920205,e280116060000209e445f02a
1592,-50,37.932661,e280116060000209e445f02a
76,-44,37.945201,e280116060000205403ddcdb
77,-45,37.959316,e280116060000205403ddcdb
78,-44,37.971619,e280116060000205403ddcdb
79,-44,37.983351,e280116060000205403ddcdb
1593,-50,37.998328,e280116060000209e445f02a
1594,-50,38.012159,e280116060000209e445f02a
80,-45,38.024785,e280116060000205403ddcdb
81,-45,38.037877,e280116060000205403ddcdb
82,-44,38.050535,e280116060000205403ddcdb
1595,-49,38.063532,e280116060000209e445f02a
1596,-48,38.082529,e280116060000209e445f02a
1597,-48,38.095876,e280116060000209e445f02a
83,-43,38.108555,e280116060000205403ddcdb
1598,-48,38.120076,e280116060000209e445f02a
1599,-48,38.133005,e280116060000209e445f02a
1600,-48,38.145741,e280116060000209e445f02a
84,-33,38.15753,e280116060000205403ddcdb
85,-33,38.170592,e280116060000205403ddcdb
1601,-48,38.183384,e280116060000209e445f02a
1602,-48,38.196073,e280116060000209e445f02a
1603,-48,38.211243,e280116060000209e445f02a
1604,-48,38.225398,e280116060000209e445f02a
1605,-48,38.240281,e280116060000209e445f02a
86,-43,38.253567,e280116060000205403ddcdb
1606,-48,38.266654,e280116060000209e445f02a
87,-39,38.286367,e280116060000205403ddcdb
1607,-50,38.299384,e280116060000209e445f02a
1608,-50,38.312108,e280116060000209e445f02a
1609,-51,38.323618,e280116060000209e445f02a
1610,-50,38.336054,e280116060000209e445f02a
88,-32,38.348551,e280116060000205403ddcdb
1611,-50,38.364846,e280116060000209e445f02a
1612,-51,38.37797,e280116060000209e445f02a
89,-39,38.390312,e280116060000205403ddcdb
1613,-51,38.403026,e280116060000209e445f02a
1614,-51,38.417716,e280116060000209e445f02a
90,-40,38.429224,e280116060000205403ddcdb
1615,-51,38.442599,e280116060000209e445f02a
91,-40,38.456629,e280116060000205403ddcdb
1616,-51,38.468882,e280116060000209e445f02a
92,-41,38.480815,e280116060000205403ddcdb
93,-41,38.50106,e280116060000205403ddcdb
1617,-51,38.513729,e280116060000209e445f02a
94,-43,38.526156,e280116060000205403ddcdb
95,-43,38.539571,e280116060000205403ddcdb
1618,-51,38.551505,e280116060000209e445f02a
1619,-51,38.566275,e280116060000209e445f02a
96,-44,38.579965,e280116060000205403ddcdb
1620,-51,38.597815,e280116060000209e445f02a
97,-44,38.611538,e280116060000205403ddcdb
98,-44,38.62468,e280116060000205403ddcdb
99,-44,38.636954,e280116060000205403ddcdb
1621,-52,38.650003,e280116060000209e445f02a
1622,-52,38.66371,e280116060000209e445f02a
100,-44,38.678124,e280116060000205403ddcdb
101,-44,38.696208,e280116060000205403ddcdb
102,-44,38.708431,e280116060000205403ddcdb
1623,-51,38.720668,e280116060000209e445f02a
103,-44,38.734251,e280116060000205403ddcdb
104,-44,38.747483,e280116060000205403ddcdb
105,-44,38.760116,e280116060000205403ddcdb
1624,-51,38.772508,e280116060000209e445f02a
106,-44,38.785053,e280116060000205403ddcdb
107,-44,38.797554,e280116060000205403ddcdb
1625,-51,38.809665,e280116060000209e445f02a
1626,-51,38.82167,e280116060000209e445f02a
1627,-51,38.834084,e280116060000209e445f02a
108,-44,38.847792,e280116060000205403ddcdb
109,-44,38.860534,e280116060000205403ddcdb
110,-44,38.873127,e280116060000205403ddcdb
1628,-51,38.896506,e280116060000209e445f02a
111,-44,38.909094,e280116060000205403ddcdb
1629,-51,38.92201,e280116060000209e445f02a
112,-44,38.935124,e280116060000205403ddcdb
113,-44,38.947094,e280116060000205403ddcdb
114,-44,38.959195,e280116060000205403ddcdb
1630,-51,38.974438,e280116060000209e445f02a
1631,-51,38.987458,e280116060000209e445f02a
1632,-51,38.999698,e280116060000209e445f02a
115,-42,39.011907,e280116060000205403ddcdb
1633,-52,39.024121,e280116060000209e445f02a
116,-41,39.036967,e280116060000205403ddcdb
1634,-51,39.051611,e280116060000209e445f02a
1635,-51,39.063915,e280116060000209e445f02a
1636,-51,39.076226,e280116060000209e445f02a
1637,-48,39.096173,e280116060000209e445f02a
1638,-48,39.112554,e280116060000209e445f02a
1639,-48,39.12566,e280116060000209e445f02a
1640,-48,39.138277,e280116060000209e445f02a
1641,-48,39.153815,e280116060000209e445f02a
1642,-49,39.165439,e280116060000209e445f02a
1643,-48,39.177458,e280116060000209e445f02a
117,-33,39.192137,e280116060000205403ddcdb
118,-33,39.206089,e280116060000205403ddcdb
1644,-48,39.218494,e280116060000209e445f02a
119,-32,39.231559,e280116060000205403ddcdb
120,-32,39.24384,e280116060000205403ddcdb
121,-32,39.260728,e280116060000205403ddcdb
1645,-48,39.27307,e280116060000209e445f02a
1646,-48,39.28722,e280116060000209e445f02a
1647,-51,39.299904,e280116060000209e445f02a
1648,-51,39.314596,e280116060000209e445f02a
1649,-51,39.327154,e280116060000209e445f02a
1650,-51,39.339942,e280116060000209e445f02a
122,-30,39.353168,e280116060000205403ddcdb
1651,-51,39.365971,e280116060000209e445f02a
123,-32,39.378803,e280116060000205403ddcdb
1652,-50,39.39088,e280116060000209e445f02a
1653,-50,39.406361,e280116060000209e445f02a
124,-40,39.420443,e280116060000205403ddcdb
125,-39,39.433866,e280116060000205403ddcdb
126,-32,39.446288,e280116060000205403ddcdb
1654,-50,39.458289,e280116060000209e445f02a
1655,-50,39.471087,e280116060000209e445f02a
1656,-50,39.484723,e280116060000209e445f02a
127,-32,39.503885,e280116060000205403ddcdb
1657,-50,39.516521,e280116060000209e445f02a
128,-32,39.528346,e280116060000205403ddcdb
129,-32,39.540689,e280116060000205403ddcdb
130,-31,39.552878,e280116060000205403ddcdb
131,-37,39.568033,e280116060000205403ddcdb
1658,-49,39.583271,e280116060000209e445f02a
1659,-49,39.595594,e280116060000209e445f02a
1660,-49,39.608961,e280116060000209e445f02a
132,-32,39.621261,e280116060000205403ddcdb
133,-44,39.634868,e280116060000205403ddcdb
134,-44,39.649834,e280116060000205403ddcdb
1661,-49,39.663925,e280116060000209e445f02a
1662,-49,39.677637,e280116060000209e445f02a
135,-43,39.690534,e280116060000205403ddcdb
136,-44,39.707926,e280116060000205403ddcdb
137,-45,39.721202,e280116060000205403ddcdb
1663,-47,39.736557,e280116060000209e445f02a
1664,-47,39.748457,e280116060000209e445f02a
1665,-47,39.759921,e280116060000209e445f02a
138,-44,39.772847,e280116060000205403ddcdb
139,-44,39.785261,e280116060000205403ddcdb
1666,-47,39.797756,e280116060000209e445f02a
140,-44,39.809593,e280116060000205403ddcdb
1667,-47,39.821894,e280116060000209e445f02a
1668,-47,39.834002,e280116060000209e445f02a
141,-45,39.845721,e280116060000205403ddcdb
142,-45,39.858359,e280116060000205403ddcdb
1669,-47,39.872247,e280116060000209e445f02a
1670,-47,39.885298,e280116060000209e445f02a
143,-45,39.898452,e280116060000205403ddcdb
144,-45,39.911481,e280116060000205403ddcdb
1671,-48,39.923902,e280116060000209e445f02a
145,-45,39.936227,e280116060000205403ddcdb
1672,-48,39.948575,e280116060000209e445f02a
146,-45,39.961133,e280116060000205403ddcdb
147,-45,39.972983,e280116060000205403ddcdb
1673,-48,39.9852,e280116060000209e445f02a
148,-44,39.997597,e280116060000205403ddcdb
149,-43,40.010306,e280116060000205403ddcdb
1674,-48,40.024292,e280116060000209e445f02a
1675,-48,40.036526,e280116060000209e445f02a
150,-45,40.048954,e280116060000205403ddcdb
1676,-48,40.061236,e280116060000209e445f02a
1677,-48,40.073864,e280116060000209e445f02a
1678,-48,40.086176,e280116060000209e445f02a
151,-45,40.098687,e280116060000205403ddcdb
152,-45,40.117538,e280116060000205403ddcdb
1679,-50,40.130757,e280116060000209e445f02a
1680,-50,40.14336,e280116060000209e445f02a
1681,-50,40.157508,e280116060000209e445f02a
153,-45,40.169996,e280116060000205403ddcdb
154,-44,40.182215,e280116060000205403ddcdb
155,-45,40.196304,e280116060000205403ddcdb
1682,-50,40.212315,e280116060000209e445f02a
156,-44,40.2278,e280116060000205403ddcdb
1683,-50,40.239966,e280116060000209e445f02a
157,-45,40.255027,e280116060000205403ddcdb
1684,-50,40.268501,e280116060000209e445f02a
158,-44,40.280505,e280116060000205403ddcdb
1685,-50,40.296023,e280116060000209e445f02a
1686,-49,40.314592,e280116060000209e445f02a
159,-32,40.329188,e280116060000205403ddcdb
1687,-50,40.341264,e280116060000209e445f02a
160,-32,40.354376,e280116060000205403ddcdb
1688,-50,40.367204,e280116060000209e445f02a
161,-32,40.379053,e280116060000205403ddcdb
162,-32,40.391535,e280116060000205403ddcdb
1689,-50,40.403756,e280116060000209e445f02a
1690,-50,40.416387,e280116060000209e445f02a
1691,-50,40.428462,e280116060000209e445f02a
1692,-50,40.441947,e280116060000209e445f02a
1693,-50,40.454911,e280116060000209e445f02a
163,-33,40.467505,e280116060000205403ddcdb
164,-40,40.480615,e280116060000205403ddcdb
165,-38,40.492352,e280116060000205403ddcdb
1694,-50,40.505538,e280116060000209e445f02a
1695,-51,40.519948,e280116060000209e445f02a
1696,-51,40.533682,e280116060000209e445f02a
1697,-51,40.545993,e280116060000209e445f02a
166,-30,40.559123,e280116060000205403ddcdb
1698,-51,40.573972,e280116060000209e445f02a
167,-39,40.587075,e280116060000205403ddcdb
1699,-51,40.599982,e280116060000209e445f02a
168,-39,40.613434,e280116060000205403ddcdb
169,-39,40.627587,e280116060000205403ddcdb
170,-40,40.641305,e280116060000205403ddcdb
1700,-51,40.653915,e280116060000209e445f02a
171,-41,40.667942,e280116060000205403ddcdb
1701,-51,40.683373,e280116060000209e445f02a
172,-42,40.696661,e280116060000205403ddcdb
173,-42,40.712273,e280116060000205403ddcdb
174,-42,40.724712,e280116060000205403ddcdb
1702,-48,40.737644,e280116060000209e445f02a
175,-44,40.753127,e280116060000205403ddcdb
1703,-48,40.77084,e280116060000209e445f02a
1704,-48,40.78338,e280116060000209e445f02a
1705,-48,40.796261,e280116060000209e445f02a
176,-45,40.808761,e280116060000205403ddcdb
1706,-48,40.820445,e280116060000209e445f02a
1707,-48,40.833443,e280116060000209e445f02a
177,-45,40.846938,e280116060000205403ddcdb
1708,-48,40.858775,e280116060000209e445f02a
178,-45,40.871969,e280116060000205403ddcdb
179,-45,40.886129,e280116060000205403ddcdb
180,-45,40.900285,e280116060000205403ddcdb
181,-45,40.9122,e280116060000205403ddcdb
1709,-50,40.930617,e280116060000209e445f02a
182,-46,40.94287,e280116060000205403ddcdb
183,-45,40.957967,e280116060000205403ddcdb
1710,-50,40.970387,e280116060000209e445f02a
184,-46,40.983187,e280116060000205403ddcdb
1711,-50,40.99791,e280116060000209e445f02a
1712,-50,41.01146,e280116060000209e445f02a
1713,-50,41.023846,e280116060000209e445f02a
185,-46,41.037156,e280116060000205403ddcdb
1714,-50,41.049171,e280116060000209e445f02a
186,-46,41.061298,e280116060000205403ddcdb
1715,-50,41.079015,e280116060000209e445f02a
1716,-50,41.095309,e280116060000209e445f02a
187,-45,41.109323,e280116060000205403ddcdb
188,-43,41.122635,e280116060000205403ddcdb
189,-43,41.13624,e280116060000205403ddcdb
1717,-51,41.1508,e280116060000209e445f02a
190,-41,41.163295,e280116060000205403ddcdb
1718,-51,41.17614,e280116060000209e445f02a
1719,-51,41.188707,e280116060000209e445f02a
1720,-51,41.203234,e280116060000209e445f02a
191,-39,41.215263,e280116060000205403ddcdb
1721,-50,41.227402,e280116060000209e445f02a
192,-40,41.239398,e280116060000205403ddcdb
193,-39,41.25379,e280116060000205403ddcdb
194,-30,41.269393,e280116060000205403ddcdb
1722,-51,41.281849,e280116060000209e445f02a
195,-39,41.294138,e280116060000205403ddcdb
196,-30,41.306563,e280116060000205403ddcdb
1723,-51,41.320727,e280116060000209e445f02a
1724,-51,41.338684,e280116060000209e445f02a
197,-32,41.351708,e280116060000205403ddcdb
198,-30,41.364002,e280116060000205403ddcdb
199,-30,41.37625,e280116060000205403ddcdb
200,-30,41.389506,e280116060000205403ddcdb
1725,-51,41.403791,e280116060000209e445f02a
201,-31,41.416007,e280116060000205403ddcdb
1726,-51,41.427966,e280116060000209e445f02a
1727,-51,41.440265,e280116060000209e445f02a
202,-30,41.452609,e280116060000205403ddcdb
203,-32,41.465279,e280116060000205403ddcdb
1728,-51,41.477197,e280116060000209e445f02a
1729,-51,41.489059,e280116060000209e445f02a
204,-39,41.503168,e280116060000205403ddcdb
205,-38,41.516096,e280116060000205403ddcdb
206,-31,41.528721,e280116060000205403ddcdb
1730,-50,41.547568,e280116060000209e445f02a
207,-32,41.562824,e280116060000205403ddcdb
208,-32,41.578285,e280116060000205403ddcdb
1731,-50,41.592323,e280116060000209e445f02a
