,distance,time (s)
0,11.854342762468585,29.012329
1,11.854342762468585,29.043419
2,11.854342762468585,29.052815
3,11.854342762468585,29.077646
4,11.854342762468585,29.108281
5,12.042562774377677,29.126849
6,12.23078278628677,29.138979
7,12.419002798195862,29.238927
8,12.344754883818629,29.313939
9,12.270506969441396,29.339809
10,12.196259055064163,29.363941
11,12.122011140686931,29.411757
12,12.047763226309698,29.467186
13,11.973515311932465,29.488044
14,11.899267397555231,29.519161
15,11.886787141383808,29.544413
16,11.874306885212384,29.579203
17,11.861826629040959,29.637855
18,11.849346372869535,29.650014
19,11.836866116698111,29.733436
20,11.254528932390006,29.780233
21,10.672191748081902,29.876668
22,10.66146246184856,29.895025
23,10.650733175615217,29.977222
24,10.790537871021487,30.009604
25,10.930342566427758,30.119025
26,11.070147261834027,30.188262
27,11.209951957240298,30.201976
28,11.349756652646567,30.241922
29,11.489561348052838,30.266536
30,11.629366043459108,30.279279
31,11.769170738865379,30.382564
32,11.908975434271648,30.394828
33,12.048780129677919,30.441095
34,12.188584825084188,30.479682
35,12.32838952049046,30.513664
36,12.468194215896728,30.551959
37,12.44061709888977,30.559076
38,12.413039981882813,30.573232
39,12.385462864875857,30.613666
40,12.357885747868899,30.67121
41,12.330308630861941,30.773167
42,12.647557591231196,30.821584
43,12.964806551600452,30.890362
44,13.86560226930314,30.903015
45,13.751601059367779,30.915511
46,13.637599849432418,31.023095
47,13.288453324436063,31.114757
48,11.96591150015049,31.128488
49,12.033076205511922,31.159378
50,12.100240910873355,31.179846
51,12.167405616234786,31.200432
52,11.512010654945318,31.221188
53,11.184313174300584,31.29828
54,10.85661569365585,31.336525
55,10.938091250520731,31.363979
56,11.019566807385614,31.401062
57,11.101042364250494,31.493276
58,11.45757714629109,31.517894
59,11.330589086898122,31.536484
60,11.203601027505155,31.582833
61,11.475275144103364,31.620696
62,11.61111220240247,31.660256
63,11.746949260701575,31.693779
64,11.38767175550706,31.783191
65,11.028394250312548,31.832861
66,10.669116745118034,31.872543
67,10.769603253855518,31.885082
68,10.870089762593002,31.897382
69,10.920333016961745,31.940669
70,10.970576271330486,32.076531
71,11.020819525699228,32.096856
72,11.07106278006797,32.110438
73,10.9419561535769,32.161214
74,10.812849527085831,32.170191
75,10.820454083953312,32.190533
76,10.828058640820794,32.217595
77,10.835663197688275,32.273125
78,10.843267754555756,32.293836
79,10.850872311423238,32.306886
80,10.858476868290719,32.325313
81,10.8660814251582,32.337874
82,10.873685982025682,32.356591
83,10.881290538893163,32.37492
84,11.581451394608573,32.412085
85,12.281612250323981,32.445608
86,12.981773106039391,32.458328
87,13.681933961754801,32.513144
88,14.33335504434304,32.531606
89,14.98477612693128,32.557678
90,15.414687798217958,32.591454
91,15.844599469504638,32.642466
92,15.854862444484368,32.675408
93,15.865125419464096,32.688267
94,15.875388394443826,32.735522
95,15.885651369423556,32.811613
96,15.686897217830122,32.836249
97,15.488143066236688,32.895129
98,15.28749001454191,32.92007
99,15.40256348901276,32.938595
100,15.517636963483609,32.965486
101,15.747783912425307,32.999569
102,15.133066371644878,33.013544
103,14.518348830864449,33.041184
104,13.90363129008402,33.085449
105,14.105234400385559,33.180947
106,13.752438841272461,33.212275
107,13.399643282159362,33.232385
108,13.155695729723377,33.260397
109,12.911748177287391,33.273995
110,12.667800624851406,33.290554
111,12.42385307241542,33.311079
112,11.911044354508022,33.33871
113,11.398235636600623,33.351015
114,10.885426918693224,33.382136
115,10.941680750953324,33.403219
116,10.997934583213427,33.458639
117,11.054188415473527,33.485215
118,11.567428000479246,33.501998
119,12.080667585484964,33.514631
120,12.208977481736394,33.546119
121,12.337287377987824,33.571916
122,12.465597274239252,33.585581
123,12.593907170490683,33.616009
124,12.271842079489247,33.675486
125,11.949776988487812,33.687656
126,11.449053667501124,33.750181
127,10.948330346514435,33.831535
128,10.967179503006067,33.850361
129,10.986028659497698,33.862671
130,11.004877815989332,33.939727
131,11.023726972480963,33.958479
132,11.042576128972595,33.970668
133,11.061425285464226,33.983064
134,11.036142717315668,34.004126
135,11.010860149167112,34.022503
136,10.985577581018553,34.035421
137,10.960295012869995,34.092638
138,10.887503550711694,34.126624
139,10.814712088553394,34.139006
140,10.741920626395093,34.171197
141,10.874355103328003,34.183998
142,11.006789580260914,34.249112
143,11.139224057193825,34.279943
144,11.271658534126736,34.308491
145,11.404093011059645,34.322465
146,11.536527487992556,34.33618
147,11.668961964925467,34.350057
148,11.801396441858378,34.363818
149,11.933830918791289,34.421924
150,11.90432105989795,34.475592
151,11.874811201004611,34.49674
152,11.845301342111272,34.531024
153,11.674424266575157,34.557636
154,11.503547191039042,34.57128
155,11.332670115502928,34.611133
156,11.161793039966813,34.629854
157,10.990915964430698,34.670754
158,10.838198746785755,34.691822
159,10.685481529140812,34.743492
160,10.532764311495868,34.762299
161,10.380047093850925,34.787173
162,10.646915823011101,34.837243
163,10.913784552171276,34.858343
164,11.180653281331452,34.920632
165,11.439513757914142,34.934586
166,11.698374234496832,34.961265
167,11.656709262661863,35.025487
168,11.265087986819282,35.04439
169,10.873466710976702,35.195016
170,10.800436345223126,35.206935
171,10.763921162346339,35.235542
172,10.727405979469552,35.295344
173,11.068726092854371,35.34169
174,11.41004620623919,35.409206
175,11.782562162115136,35.437437
176,11.906734147407118,35.449857
177,12.0309061326991,35.463583
178,12.155078117991081,35.476843
179,12.075404200412644,35.483662
180,11.995730282834206,35.548524
181,11.780013021913014,35.579299
182,11.564295760991824,35.605745
183,11.348578500070632,35.635898
184,11.277061400831924,35.711051
185,11.205544301593218,35.74188
186,11.13402720235451,35.773262
187,11.067315326032261,35.792415
188,11.000603449710013,35.870772
189,10.933891573387763,35.922198
190,10.867179697065515,35.945534
191,10.762467244068851,35.982307
192,10.65775479107219,36.002918
193,10.553042338075526,36.016661
194,10.602980107553858,36.142738
195,10.652917877032191,36.170383
196,10.702855646510523,36.195197
197,10.752793415988856,36.229888
198,10.802731185467188,36.27983
199,10.85266895494552,36.313392
200,10.902606724423853,36.357649
201,10.952544493902185,36.470823
202,11.002482263380518,36.510207
203,11.05242003285885,36.540783
204,11.102357802337181,36.554624
205,11.152295571815515,36.580484
206,11.202233341293846,36.598842
207,11.25217111077218,36.619389
208,11.302108880250511,36.633491
209,11.317017495483471,36.67085
210,11.33192611071643,36.68461
211,11.346834725949389,36.70504
212,11.361743341182349,36.758702
213,11.541678456496552,36.792786
214,11.721613571810755,36.818693
215,11.901548687124958,36.969762
216,12.081483802439163,37.022336
217,12.261418917753366,37.050767
218,12.441354033067569,37.186404
219,12.621289148381772,37.232171
220,11.817610318916733,37.262855
221,11.415770904184214,37.283482
222,11.013931489451695,37.346866
223,10.906533495042495,37.411368
224,10.799135500633295,37.445667
225,10.84689870344486,37.502586
226,10.894661906256424,37.52315
227,10.94242510906799,37.537267
228,10.990188311879555,37.564014
229,11.03795151469112,37.582549
230,10.938197954426592,37.596226
231,10.918247242373686,37.644531
232,10.898296530320781,37.661276
233,10.878345818267876,37.701911
234,10.85839510621497,37.720116
235,10.838444394162066,37.825104
236,11.231401193651221,37.837338
237,11.264147593608651,37.885395
238,11.29689399356608,37.973081
239,11.32964039352351,38.016288
240,11.36238679348094,38.042386
241,11.395133193438369,38.119622
242,11.427879593395799,38.158293
243,11.46062599335323,38.173367
244,11.493372393310658,38.265894
245,11.526118793268088,38.330584
246,11.558865193225518,38.370559
247,11.591611593182947,38.401414
248,11.624357993140377,38.440039
249,12.156205795276584,38.538193
250,12.688053597412793,38.641675
251,13.219901399549,38.711826
