,prx,time (s),epc96
851,-30,31.693714,e280116060000205403e136b
67,-29,31.718791,e280116060000205403de047
68,-33,31.73232,e280116060000205403de047
69,-32,31.756831,e280116060000205403de047
852,-30,31.770861,e280116060000205403e136b
70,-32,31.793671,e280116060000205403de047
853,-31,31.80758,e280116060000205403e136b
854,-31,31.831973,e280116060000205403e136b
71,-33,31.84582,e280116060000205403de047
855,-30,31.868212,e280116060000205403e136b
856,-31,31.886896,e280116060000205403e136b
857,-31,31.911356,e280116060000205403e136b
72,-33,31.925461,e280116060000205403de047
73,-33,31.950136,e280116060000205403de047
858,-31,31.964041,e280116060000205403e136b
74,-30,31.988042,e280116060000205403de047
859,-31,32.00107,e280116060000205403e136b
75,-33,32.024934,e280116060000205403de047
860,-31,32.037909,e280116060000205403e136b
76,-34,32.06179,e280116060000205403de047
861,-33,32.074866,e280116060000205403e136b
77,-34,32.101147,e280116060000205403de047
78,-33,32.120358,e280116060000205403de047
79,-32,32.146061,e280116060000205403de047
862,-32,32.160321,e280116060000205403e136b
80,-34,32.183182,e280116060000205403de047
863,-32,32.201639,e280116060000205403e136b
81,-33,32.221053,e280116060000205403de047
864,-31,32.2435,e280116060000205403e136b
82,-34,32.258673,e280116060000205403de047
865,-32,32.279879,e280116060000205403e136b
866,-31,32.298368,e280116060000205403e136b
83,-33,32.321701,e280116060000205403de047
867,-31,32.335845,e280116060000205403e136b
868,-31,32.360401,e280116060000205403e136b
84,-32,32.375877,e280116060000205403de047
869,-32,32.399133,e280116060000205403e136b
85,-34,32.415351,e280116060000205403de047
870,-33,32.440413,e280116060000205403e136b
871,-31,32.453287,e280116060000205403e136b
86,-32,32.476938,e280116060000205403de047
872,-30,32.501258,e280116060000205403e136b
873,-30,32.514368,e280116060000205403e136b
87,-34,32.539924,e280116060000205403de047
874,-32,32.555019,e280116060000205403e136b
88,-33,32.579042,e280116060000205403de047
875,-31,32.593522,e280116060000205403e136b
89,-30,32.617094,e280116060000205403de047
876,-29,32.629881,e280116060000205403e136b
877,-30,32.65543,e280116060000205403e136b
90,-32,32.671301,e280116060000205403de047
878,-32,32.693849,e280116060000205403e136b
91,-32,32.71274,e280116060000205403de047
92,-31,32.73183,e280116060000205403de047
879,-33,32.756837,e280116060000205403e136b
93,-33,32.7735,e280116060000205403de047
880,-33,32.796458,e280116060000205403e136b
94,-32,32.815065,e280116060000205403de047
881,-32,32.837345,e280116060000205403e136b
95,-32,32.852715,e280116060000205403de047
96,-29,32.876961,e280116060000205403de047
882,-29,32.893008,e280116060000205403e136b
97,-30,32.915712,e280116060000205403de047
883,-30,32.939384,e280116060000205403e136b
98,-32,32.962129,e280116060000205403de047
884,-32,32.980819,e280116060000205403e136b
99,-31,33.003532,e280116060000205403de047
885,-31,33.022142,e280116060000205403e136b
100,-31,33.039718,e280116060000205403de047
886,-30,33.062899,e280116060000205403e136b
887,-29,33.076831,e280116060000205403e136b
101,-29,33.102463,e280116060000205403de047
888,-30,33.121413,e280116060000205403e136b
889,-30,33.146676,e280116060000205403e136b
102,-31,33.163518,e280116060000205403de047
890,-34,33.183525,e280116060000205403e136b
103,-31,33.2055,e280116060000205403de047
891,-29,33.220459,e280116060000205403e136b
104,-31,33.246795,e280116060000205403de047
892,-30,33.261117,e280116060000205403e136b
105,-30,33.285915,e280116060000205403de047
893,-29,33.302462,e280116060000205403e136b
106,-29,33.323496,e280116060000205403de047
894,-31,33.344767,e280116060000205403e136b
107,-31,33.369462,e280116060000205403de047
895,-31,33.384371,e280116060000205403e136b
108,-30,33.407301,e280116060000205403de047
896,-30,33.425202,e280116060000205403e136b
109,-31,33.444505,e280116060000205403de047
897,-30,33.466854,e280116060000205403e136b
110,-30,33.481085,e280116060000205403de047
111,-29,33.505979,e280116060000205403de047
898,-31,33.527752,e280116060000205403e136b
112,-30,33.546108,e280116060000205403de047
899,-31,33.568894,e280116060000205403e136b
113,-29,33.585777,e280116060000205403de047
900,-29,33.609784,e280116060000205403e136b
901,-29,33.623776,e280116060000205403e136b
114,-29,33.647062,e280116060000205403de047
902,-30,33.664861,e280116060000205403e136b
115,-29,33.683726,e280116060000205403de047
903,-32,33.706148,e280116060000205403e136b
116,-31,33.72235,e280116060000205403de047
904,-31,33.747409,e280116060000205403e136b
117,-30,33.764967,e280116060000205403de047
905,-30,33.789215,e280116060000205403e136b
906,-30,33.80212,e280116060000205403e136b
118,-29,33.827418,e280116060000205403de047
907,-29,33.843693,e280116060000205403e136b
119,-29,33.865839,e280116060000205403de047
908,-30,33.880556,e280116060000205403e136b
909,-30,33.904603,e280116060000205403e136b
910,-30,33.924083,e280116060000205403e136b
120,-29,33.948072,e280116060000205403de047
911,-32,33.964395,e280116060000205403e136b
121,-30,33.98639,e280116060000205403de047
912,-31,34.00645,e280116060000205403e136b
122,-29,34.026446,e280116060000205403de047
913,-30,34.048251,e280116060000205403e136b
123,-29,34.068601,e280116060000205403de047
914,-31,34.08986,e280116060000205403e136b
124,-30,34.111064,e280116060000205403de047
915,-32,34.134379,e280116060000205403e136b
125,-29,34.154616,e280116060000205403de047
916,-30,34.171409,e280116060000205403e136b
126,-29,34.191956,e280116060000205403de047
917,-31,34.212184,e280116060000205403e136b
127,-30,34.233456,e280116060000205403de047
918,-32,34.252906,e280116060000205403e136b
128,-30,34.27185,e280116060000205403de047
919,-32,34.294569,e280116060000205403e136b
129,-29,34.310028,e280116060000205403de047
130,-29,34.337677,e280116060000205403de047
131,-29,34.357605,e280116060000205403de047
920,-32,34.379468,e280116060000205403e136b
132,-31,34.399314,e280116060000205403de047
921,-33,34.416187,e280116060000205403e136b
922,-32,34.440295,e280116060000205403e136b
133,-29,34.454074,e280116060000205403de047
923,-31,34.477542,e280116060000205403e136b
134,-30,34.490588,e280116060000205403de047
924,-32,34.514607,e280116060000205403e136b
135,-31,34.529298,e280116060000205403de047
925,-33,34.551925,e280116060000205403e136b
136,-30,34.572268,e280116060000205403de047
926,-34,34.588923,e280116060000205403e136b
137,-32,34.609965,e280116060000205403de047
927,-34,34.62542,e280116060000205403e136b
928,-34,34.650632,e280116060000205403e136b
138,-32,34.665209,e280116060000205403de047
929,-32,34.686772,e280116060000205403e136b
139,-30,34.704271,e280116060000205403de047
140,-31,34.728856,e280116060000205403de047
930,-31,34.74423,e280116060000205403e136b
141,-30,34.767962,e280116060000205403de047
931,-31,34.781389,e280116060000205403e136b
142,-31,34.806359,e280116060000205403de047
932,-31,34.819235,e280116060000205403e136b
143,-32,34.84309,e280116060000205403de047
933,-32,34.856319,e280116060000205403e136b
144,-31,34.880514,e280116060000205403de047
145,-31,34.893161,e280116060000205403de047
146,-31,34.917072,e280116060000205403de047
934,-31,34.936458,e280116060000205403e136b
147,-30,34.954152,e280116060000205403de047
935,-30,34.974501,e280116060000205403e136b
148,-30,34.996858,e280116060000205403de047
936,-30,35.011765,e280116060000205403e136b
149,-31,35.033817,e280116060000205403de047
937,-31,35.048929,e280116060000205403e136b
150,-31,35.07197,e280116060000205403de047
938,-31,35.086223,e280116060000205403e136b
939,-29,35.110995,e280116060000205403e136b
151,-31,35.127681,e280116060000205403de047
152,-29,35.151961,e280116060000205403de047
940,-29,35.165719,e280116060000205403e136b
153,-30,35.188996,e280116060000205403de047
941,-31,35.205381,e280116060000205403e136b
154,-30,35.226202,e280116060000205403de047
942,-30,35.246756,e280116060000205403e136b
155,-32,35.267894,e280116060000205403de047
943,-33,35.288278,e280116060000205403e136b
156,-32,35.303912,e280116060000205403de047
157,-33,35.328824,e280116060000205403de047
944,-32,35.349128,e280116060000205403e136b
158,-32,35.366773,e280116060000205403de047
945,-30,35.389516,e280116060000205403e136b
159,-32,35.412756,e280116060000205403de047
946,-31,35.429214,e280116060000205403e136b
160,-31,35.453456,e280116060000205403de047
161,-30,35.467537,e280116060000205403de047
947,-30,35.49092,e280116060000205403e136b
162,-33,35.504226,e280116060000205403de047
948,-31,35.528331,e280116060000205403e136b
163,-33,35.541207,e280116060000205403de047
164,-33,35.566211,e280116060000205403de047
949,-30,35.586526,e280116060000205403e136b
165,-34,35.602914,e280116060000205403de047
950,-31,35.625518,e280116060000205403e136b
166,-33,35.640345,e280116060000205403de047
951,-30,35.661769,e280116060000205403e136b
167,-33,35.676943,e280116060000205403de047
168,-33,35.70154,e280116060000205403de047
169,-32,35.715288,e280116060000205403de047
952,-30,35.738052,e280116060000205403e136b
953,-30,35.756468,e280116060000205403e136b
954,-31,35.780934,e280116060000205403e136b
170,-34,35.797407,e280116060000205403de047
955,-31,35.817963,e280116060000205403e136b
171,-33,35.834,e280116060000205403de047
956,-30,35.854695,e280116060000205403e136b
172,-34,35.871535,e280116060000205403de047
957,-31,35.893417,e280116060000205403e136b
173,-34,35.912037,e280116060000205403de047
958,-29,35.930059,e280116060000205403e136b
174,-29,35.948725,e280116060000205403de047
959,-29,35.972599,e280116060000205403e136b
175,-32,35.985889,e280116060000205403de047
960,-32,36.01047,e280116060000205403e136b
176,-34,36.023284,e280116060000205403de047
177,-34,36.048555,e280116060000205403de047
961,-30,36.063311,e280116060000205403e136b
178,-32,36.089515,e280116060000205403de047
962,-32,36.105352,e280116060000205403e136b
179,-32,36.129143,e280116060000205403de047
963,-30,36.145565,e280116060000205403e136b
180,-34,36.167292,e280116060000205403de047
964,-31,36.189725,e280116060000205403e136b
181,-33,36.210018,e280116060000205403de047
965,-30,36.226693,e280116060000205403e136b
182,-34,36.24759,e280116060000205403de047
966,-31,36.263758,e280116060000205403e136b
183,-34,36.287336,e280116060000205403de047
967,-32,36.302406,e280116060000205403e136b
184,-33,36.324749,e280116060000205403de047
968,-31,36.344955,e280116060000205403e136b
185,-33,36.364534,e280116060000205403de047
969,-31,36.388828,e280116060000205403e136b
186,-33,36.40663,e280116060000205403de047
970,-29,36.426732,e280116060000205403e136b
187,-31,36.445386,e280116060000205403de047
971,-31,36.464486,e280116060000205403e136b
188,-33,36.48582,e280116060000205403de047
972,-31,36.501539,e280116060000205403e136b
973,-29,36.52604,e280116060000205403e136b
189,-30,36.541497,e280116060000205403de047
190,-30,36.56898,e280116060000205403de047
191,-32,36.582157,e280116060000205403de047
974,-31,36.605849,e280116060000205403e136b
192,-31,36.621688,e280116060000205403de047
975,-29,36.646625,e280116060000205403e136b
193,-33,36.661167,e280116060000205403de047
194,-31,36.685667,e280116060000205403de047
976,-30,36.700055,e280116060000205403e136b
195,-32,36.723514,e280116060000205403de047
196,-32,36.737771,e280116060000205403de047
977,-31,36.763348,e280116060000205403e136b
978,-31,36.780012,e280116060000205403e136b
979,-31,36.804554,e280116060000205403e136b
197,-32,36.81919,e280116060000205403de047
980,-30,36.841398,e280116060000205403e136b
198,-32,36.856353,e280116060000205403de047
199,-32,36.881298,e280116060000205403de047
981,-32,36.896207,e280116060000205403e136b
200,-33,36.918036,e280116060000205403de047
982,-31,36.937742,e280116060000205403e136b
201,-32,36.958981,e280116060000205403de047
983,-30,36.97459,e280116060000205403e136b
984,-30,36.998868,e280116060000205403e136b
202,-31,37.017605,e280116060000205403de047
985,-32,37.035714,e280116060000205403e136b
203,-31,37.054989,e280116060000205403de047
986,-31,37.073484,e280116060000205403e136b
204,-31,37.092106,e280116060000205403de047
987,-31,37.113202,e280116060000205403e136b
205,-30,37.128842,e280116060000205403de047
988,-29,37.149857,e280116060000205403e136b
206,-29,37.166098,e280116060000205403de047
989,-31,37.19463,e280116060000205403e136b
207,-31,37.211044,e280116060000205403de047
990,-29,37.235973,e280116060000205403e136b
208,-29,37.252964,e280116060000205403de047
991,-31,37.277434,e280116060000205403e136b
209,-32,37.294515,e280116060000205403de047
992,-32,37.318376,e280116060000205403e136b
210,-32,37.335272,e280116060000205403de047
993,-32,37.360442,e280116060000205403e136b
211,-32,37.377272,e280116060000205403de047
994,-32,37.399832,e280116060000205403e136b
212,-30,37.418524,e280116060000205403de047
995,-31,37.437316,e280116060000205403e136b
213,-31,37.45472,e280116060000205403de047
996,-29,37.474656,e280116060000205403e136b
214,-29,37.492087,e280116060000205403de047
997,-31,37.511848,e280116060000205403e136b
215,-30,37.529273,e280116060000205403de047
998,-31,37.548594,e280116060000205403e136b
216,-30,37.567052,e280116060000205403de047
217,-30,37.59095,e280116060000205403de047
999,-33,37.604138,e280116060000205403e136b
218,-30,37.628102,e280116060000205403de047
219,-30,37.642037,e280116060000205403de047
1000,-29,37.665933,e280116060000205403e136b
220,-29,37.681167,e280116060000205403de047
1001,-31,37.705404,e280116060000205403e136b
1002,-31,37.718842,e280116060000205403e136b
1003,-31,37.743293,e280116060000205403e136b
221,-29,37.75689,e280116060000205403de047
1004,-30,37.780677,e280116060000205403e136b
1005,-30,37.800166,e280116060000205403e136b
222,-30,37.818598,e280116060000205403de047
1006,-31,37.840882,e280116060000205403e136b
223,-31,37.855464,e280116060000205403de047
224,-29,37.880412,e280116060000205403de047
1007,-31,37.896744,e280116060000205403e136b
225,-30,37.919422,e280116060000205403de047
1008,-31,37.938167,e280116060000205403e136b
226,-30,37.960617,e280116060000205403de047
1009,-31,37.977168,e280116060000205403e136b
227,-29,38.001941,e280116060000205403de047
1010,-32,38.020848,e280116060000205403e136b
228,-30,38.043225,e280116060000205403de047
1011,-33,38.061812,e280116060000205403e136b
229,-29,38.080827,e280116060000205403de047
1012,-31,38.103749,e280116060000205403e136b
230,-29,38.118157,e280116060000205403de047
231,-30,38.143985,e280116060000205403de047
1013,-32,38.159223,e280116060000205403e136b
232,-30,38.185694,e280116060000205403de047
1014,-32,38.205274,e280116060000205403e136b
233,-29,38.228467,e280116060000205403de047
1015,-31,38.246124,e280116060000205403e136b
234,-29,38.265661,e280116060000205403de047
1016,-34,38.287956,e280116060000205403e136b
235,-30,38.302765,e280116060000205403de047
236,-29,38.32708,e280116060000205403de047
1017,-32,38.342619,e280116060000205403e136b
237,-30,38.367361,e280116060000205403de047
238,-29,38.381392,e280116060000205403de047
1018,-29,38.411034,e280116060000205403e136b
239,-31,38.428325,e280116060000205403de047
1019,-33,38.44856,e280116060000205403e136b
240,-30,38.470105,e280116060000205403de047
1020,-30,38.487288,e280116060000205403e136b
241,-30,38.509543,e280116060000205403de047
1021,-33,38.523606,e280116060000205403e136b
1022,-33,38.548524,e280116060000205403e136b
242,-30,38.562228,e280116060000205403de047
1023,-32,38.585055,e280116060000205403e136b
243,-29,38.59848,e280116060000205403de047
1024,-31,38.627718,e280116060000205403e136b
244,-32,38.64099,e280116060000205403de047
