,distance,time (s)
0,18.202591666641133,29.007038
1,18.202591666641133,29.054412
2,18.202591666641133,29.092327
3,18.114743313347823,29.105703
4,18.070819136701168,29.147751
5,18.02689496005451,29.188386
6,17.9390466067612,29.229741
7,17.85119825346789,29.270009
8,17.807274076821233,29.310913
9,17.76334990017458,29.350487
10,17.675501546881264,29.364363
11,17.587653193587954,29.483626
12,17.499804840294644,29.520932
13,17.411956487001333,29.561163
14,17.32410813370802,29.588053
15,17.23625978041471,29.600337
16,17.031710909278054,29.685386
17,16.8271620381414,29.709716
18,16.622613167004744,29.747392
19,16.418064295868092,29.784509
20,16.213515424731437,29.847003
21,16.00896655359478,29.890015
22,15.804417682458126,29.929026
23,15.599868811321471,29.970454
24,15.395319940184816,30.009761
25,15.190771069048163,30.047346
26,14.986222197911507,30.109644
27,14.791613688480382,30.147656
28,14.597005179049255,30.189706
29,14.40239666961813,30.228356
30,14.207788160187002,30.276291
31,14.013179650755877,30.317785
32,13.81857114132475,30.331361
33,13.623962631893624,30.369374
34,13.429354122462499,30.394325
35,13.234745613031372,30.433979
36,13.040137103600246,30.470413
37,12.845528594169119,30.512658
38,12.650920084737994,30.549877
39,12.456311575306867,30.589664
40,12.261703065875741,30.627543
41,12.064553142719678,30.654096
42,11.867403219563613,30.69599
43,11.67025329640755,30.750252
44,11.473103373251487,30.788024
45,11.275953450095422,30.825378
46,11.078803526939359,30.862612
47,10.881653603783295,30.906677
48,10.815936962731273,30.943916
49,10.750220321679253,30.981537
50,10.68450368062723,31.018819
51,10.5859287190492,31.05566
52,10.487353757471167,31.100493
53,10.519141958349438,31.13907
54,10.529738025308863,31.180752
55,10.540334092268285,31.221569
56,10.55093015922771,31.261058
57,10.566824259666845,31.304152
58,10.58271836010598,31.344984
59,10.614506560984251,31.38449
60,10.625102627943676,31.424576
61,10.635698694903098,31.479256
62,10.646294761862523,31.522059
63,10.65083593341656,31.559735
64,10.6553771049706,31.597971
65,10.659918276524639,31.612345
66,10.664459448078677,31.674953
67,10.669000619632715,31.718791
68,10.673541791186755,31.73232
69,10.678082962740794,31.756831
70,10.913312038014524,31.793671
71,11.148541113288255,31.84582
72,11.383770188561986,31.925461
73,11.618999263835718,31.950136
74,11.854228339109449,31.988042
75,12.08945741438318,32.024934
76,12.32468648965691,32.06179
77,12.559915564930641,32.101147
78,12.795144640204372,32.120358
79,13.030373715478103,32.146061
80,13.265602790751835,32.183182
81,13.500831866025564,32.221053
82,13.736060941299296,32.258673
83,13.971290016573027,32.321701
84,14.206519091846758,32.375877
85,14.441748167120489,32.415351
86,14.67697724239422,32.476938
87,14.975524886668527,32.539924
88,15.274072530942837,32.579042
89,15.572620175217146,32.617094
90,15.871167819491454,32.671301
91,15.980379818914674,32.71274
92,16.089591818337894,32.73183
93,16.19880381776111,32.7735
94,16.30801581718433,32.815065
95,16.41722781660755,32.852715
96,16.96328781372365,32.876961
97,17.145307812762347,32.915712
98,17.327327811801048,32.962129
99,17.509347810839746,33.003532
100,18.055407807955845,33.039718
101,18.60146780507194,33.102463
102,18.54318081274066,33.163518
103,18.484893820409376,33.2055
104,18.42660682807809,33.246795
105,18.368319835746806,33.285915
106,18.310032843415524,33.323496
107,18.280889347249882,33.369462
108,18.25174585108424,33.407301
109,18.2226023549186,33.444505
110,18.193458858752958,33.481085
111,18.135171866421675,33.505979
112,18.07688487409039,33.546108
113,18.018597881759106,33.585777
114,17.960310889427824,33.647062
115,17.67195920586206,33.683726
116,17.383607522296295,33.72235
117,17.09525583873053,33.764967
118,16.80690415516477,33.827418
119,16.518552471599005,33.865839
120,16.23020078803324,33.948072
121,15.941849104467476,33.98639
122,15.653497420901711,34.026446
123,15.365145737335949,34.068601
124,15.076794053770184,34.111064
125,14.824291457913795,34.154616
126,14.571788862057407,34.191956
127,14.319286266201017,34.233456
128,14.066783670344627,34.27185
129,13.814281074488239,34.310028
130,13.56177847863185,34.337677
131,13.30927588277546,34.357605
132,13.056773286919071,34.399314
133,12.804270691062682,34.454074
134,12.551768095206292,34.490588
135,12.299265499349904,34.529298
136,12.046762903493514,34.572268
137,11.794260307637124,34.609965
138,11.558950343359337,34.665209
139,11.323640379081548,34.704271
140,11.08833041480376,34.728856
141,10.853020450525973,34.767962
142,10.617710486248184,34.806359
143,10.500055504109291,34.84309
144,10.382400521970396,34.880514
145,10.264745539831502,34.893161
146,10.147090557692609,34.917072
147,9.91178059341482,34.954152
148,9.676470629137032,34.996858
149,9.441160664859245,35.033817
150,9.205850700581458,35.07197
151,8.970540736303668,35.127681
152,9.190733594387702,35.151961
153,9.410926452471735,35.188996
154,9.631119310555768,35.226202
155,10.291697884807865,35.267894
156,10.511890742891898,35.303912
157,10.732083600975932,35.328824
158,10.952276459059965,35.366773
159,11.084392173910384,35.412756
160,11.216507888760804,35.453456
161,11.348623603611223,35.467537
162,11.480739318461643,35.504226
163,11.612855033312062,35.541207
164,11.722951462354079,35.566211
165,11.833047891396095,35.602914
166,11.943144320438112,35.640345
167,12.053240749480128,35.676943
168,12.163337178522145,35.70154
169,12.273433607564161,35.715288
170,12.623158613363602,35.797407
171,12.97288361916304,35.834
172,13.32260862496248,35.871535
173,13.417988171998692,35.912037
174,13.513367719034902,35.948725
175,13.608747266071113,35.985889
176,13.704126813107324,36.023284
177,13.799506360143535,36.048555
178,13.894885907179745,36.089515
179,13.990265454215956,36.129143
180,14.085645001252168,36.167292
181,14.181024548288379,36.210018
182,14.276404095324589,36.24759
183,14.3717836423608,36.287336
184,14.584465394603562,36.324749
185,14.797147146846322,36.364534
