,prx,time (s),epc96
861,-31,32.074866,e280116060000205403e136b
77,-33,32.101147,e280116060000205403de047
78,-34,32.120358,e280116060000205403de047
79,-34,32.146061,e280116060000205403de047
862,-32,32.160321,e280116060000205403e136b
80,-33,32.183182,e280116060000205403de047
863,-31,32.201639,e280116060000205403e136b
81,-34,32.221053,e280116060000205403de047
864,-33,32.2435,e280116060000205403e136b
82,-34,32.258673,e280116060000205403de047
865,-32,32.279879,e280116060000205403e136b
866,-31,32.298368,e280116060000205403e136b
83,-33,32.321701,e280116060000205403de047
867,-31,32.335845,e280116060000205403e136b
868,-31,32.360401,e280116060000205403e136b
84,-33,32.375877,e280116060000205403de047
869,-31,32.399133,e280116060000205403e136b
85,-32,32.415351,e280116060000205403de047
870,-30,32.440413,e280116060000205403e136b
871,-30,32.453287,e280116060000205403e136b
86,-32,32.476938,e280116060000205403de047
872,-30,32.501258,e280116060000205403e136b
873,-30,32.514368,e280116060000205403e136b
87,-33,32.539924,e280116060000205403de047
874,-31,32.555019,e280116060000205403e136b
88,-32,32.579042,e280116060000205403de047
875,-30,32.593522,e280116060000205403e136b
89,-31,32.617094,e280116060000205403de047
876,-30,32.629881,e280116060000205403e136b
877,-30,32.65543,e280116060000205403e136b
90,-32,32.671301,e280116060000205403de047
878,-31,32.693849,e280116060000205403e136b
91,-31,32.71274,e280116060000205403de047
92,-31,32.73183,e280116060000205403de047
879,-31,32.756837,e280116060000205403e136b
93,-31,32.7735,e280116060000205403de047
880,-31,32.796458,e280116060000205403e136b
94,-33,32.815065,e280116060000205403de047
881,-33,32.837345,e280116060000205403e136b
95,-32,32.852715,e280116060000205403de047
96,-32,32.876961,e280116060000205403de047
882,-32,32.893008,e280116060000205403e136b
97,-31,32.915712,e280116060000205403de047
883,-31,32.939384,e280116060000205403e136b
98,-31,32.962129,e280116060000205403de047
884,-30,32.980819,e280116060000205403e136b
99,-30,33.003532,e280116060000205403de047
885,-31,33.022142,e280116060000205403e136b
100,-31,33.039718,e280116060000205403de047
886,-32,33.062899,e280116060000205403e136b
887,-31,33.076831,e280116060000205403e136b
101,-30,33.102463,e280116060000205403de047
888,-30,33.121413,e280116060000205403e136b
889,-30,33.146676,e280116060000205403e136b
102,-32,33.163518,e280116060000205403de047
890,-33,33.183525,e280116060000205403e136b
103,-30,33.2055,e280116060000205403de047
891,-30,33.220459,e280116060000205403e136b
104,-30,33.246795,e280116060000205403de047
892,-30,33.261117,e280116060000205403e136b
105,-30,33.285915,e280116060000205403de047
893,-30,33.302462,e280116060000205403e136b
106,-30,33.323496,e280116060000205403de047
894,-30,33.344767,e280116060000205403e136b
107,-30,33.369462,e280116060000205403de047
895,-30,33.384371,e280116060000205403e136b
108,-31,33.407301,e280116060000205403de047
896,-31,33.425202,e280116060000205403e136b
109,-31,33.444505,e280116060000205403de047
897,-31,33.466854,e280116060000205403e136b
110,-31,33.481085,e280116060000205403de047
111,-30,33.505979,e280116060000205403de047
898,-31,33.527752,e280116060000205403e136b
112,-30,33.546108,e280116060000205403de047
899,-31,33.568894,e280116060000205403e136b
113,-31,33.585777,e280116060000205403de047
900,-32,33.609784,e280116060000205403e136b
901,-32,33.623776,e280116060000205403e136b
114,-30,33.647062,e280116060000205403de047
902,-31,33.664861,e280116060000205403e136b
115,-31,33.683726,e280116060000205403de047
903,-32,33.706148,e280116060000205403e136b
116,-30,33.72235,e280116060000205403de047
904,-31,33.747409,e280116060000205403e136b
117,-30,33.764967,e280116060000205403de047
905,-31,33.789215,e280116060000205403e136b
906,-31,33.80212,e280116060000205403e136b
118,-29,33.827418,e280116060000205403de047
907,-30,33.843693,e280116060000205403e136b
119,-30,33.865839,e280116060000205403de047
908,-31,33.880556,e280116060000205403e136b
909,-31,33.904603,e280116060000205403e136b
910,-31,33.924083,e280116060000205403e136b
120,-29,33.948072,e280116060000205403de047
911,-31,33.964395,e280116060000205403e136b
121,-29,33.98639,e280116060000205403de047
912,-30,34.00645,e280116060000205403e136b
122,-29,34.026446,e280116060000205403de047
913,-31,34.048251,e280116060000205403e136b
123,-29,34.068601,e280116060000205403de047
914,-31,34.08986,e280116060000205403e136b
124,-30,34.111064,e280116060000205403de047
915,-32,34.134379,e280116060000205403e136b
125,-29,34.154616,e280116060000205403de047
916,-31,34.171409,e280116060000205403e136b
126,-29,34.191956,e280116060000205403de047
917,-31,34.212184,e280116060000205403e136b
127,-29,34.233456,e280116060000205403de047
918,-31,34.252906,e280116060000205403e136b
128,-29,34.27185,e280116060000205403de047
919,-31,34.294569,e280116060000205403e136b
129,-30,34.310028,e280116060000205403de047
130,-29,34.337677,e280116060000205403de047
