,prx,time (s),epc96
2342,-29.0,29.001412,e280116060000205403e136b
0,-30.0,29.007038,e280116060000205403de047
2343,-31.0,29.0136,e280116060000205403e136b
1,-32.0,29.020958,e280116060000205403de047
2344,-33.0,29.031935,e280116060000205403e136b
2,-32.0,29.034648,e280116060000205403de047
2345,-34.0,29.043947,e280116060000205403e136b
3,-31.0,29.054412,e280116060000205403de047
2346,-32.0,29.056499,e280116060000205403e136b
4,-29.0,29.06797,e280116060000205403de047
2347,-32.0,29.068777,e280116060000205403e136b
5,-31.0,29.079936,e280116060000205403de047
2348,-32.0,29.081202,e280116060000205403e136b
6,-31.0,29.092327,e280116060000205403de047
2349,-32.0,29.093294,e280116060000205403e136b
2350,-30.0,29.105512,e280116060000205403e136b
7,-30.0,29.105703,e280116060000205403de047
2351,-31.0,29.118211,e280116060000205403e136b
8,-32.0,29.119531,e280116060000205403de047
2352,-29.0,29.130242,e280116060000205403e136b
9,-29.0,29.133243,e280116060000205403de047
2353,-31.0,29.142967,e280116060000205403e136b
10,-31.0,29.147751,e280116060000205403de047
2354,-33.0,29.155258,e280116060000205403e136b
11,-31.0,29.160845,e280116060000205403de047
2355,-32.0,29.167528,e280116060000205403e136b
12,-31.0,29.174762,e280116060000205403de047
2356,-32.0,29.180857,e280116060000205403e136b
13,-29.0,29.188386,e280116060000205403de047
2357,-32.0,29.194549,e280116060000205403e136b
14,-30.0,29.201877,e280116060000205403de047
2358,-32.0,29.20834,e280116060000205403e136b
15,-32.0,29.215692,e280116060000205403de047
2359,-32.0,29.222386,e280116060000205403e136b
16,-29.0,29.229741,e280116060000205403de047
2360,-31.0,29.236802,e280116060000205403e136b
17,-29.0,29.24417,e280116060000205403de047
2361,-32.0,29.250377,e280116060000205403e136b
18,-31.0,29.257575,e280116060000205403de047
2362,-32.0,29.264162,e280116060000205403e136b
19,-31.0,29.270009,e280116060000205403de047
2363,-31.0,29.276296,e280116060000205403e136b
20,-30.0,29.282993,e280116060000205403de047
2364,-31.0,29.288813,e280116060000205403e136b
21,-29.0,29.297208,e280116060000205403de047
2365,-32.0,29.301228,e280116060000205403e136b
22,-30.0,29.310913,e280116060000205403de047
2366,-30.0,29.313644,e280116060000205403e136b
23,-31.0,29.322983,e280116060000205403de047
2367,-32.0,29.32667,e280116060000205403e136b
24,-30.0,29.336559,e280116060000205403de047
2368,-33.0,29.338799,e280116060000205403e136b
25,-31.0,29.350487,e280116060000205403de047
2369,-29.0,29.351143,e280116060000205403e136b
2370,-30.0,29.363295,e280116060000205403e136b
26,-31.0,29.364363,e280116060000205403de047
2371,-33.0,29.376253,e280116060000205403e136b
27,-31.0,29.378093,e280116060000205403de047
2372,-31.0,29.388524,e280116060000205403e136b
28,-31.0,29.389575,e280116060000205403de047
29,-31.0,29.401608,e280116060000205403de047
2373,-32.0,29.401664,e280116060000205403e136b
2374,-32.0,29.413529,e280116060000205403e136b
